v1,v2
PRG,cómo estás
MOD,modo análisis
MOD,modo offline
PRG,qué hora es
MOD,modo online
EXP,ni modo nada que hacer
EXP,Mi nombre es Edgar
MOD,modo análisis
CMD,establecer alarma
CMD,ejecutar encender bomba
MOD,modo offline
EXP,ni modo nada que hacer
EXP,ni modo nada que hacer
EXP,ni modo nada que hacer
EXP,que talca como andamios
EXP,que talca como andamios
EXP,que tal cómo andamos
EXP,que talca cómo andamios
EXP,que talca como andamios
EXP,estoy contento
CMD,detener
CMD,detener
CMD,detener
PRG,cómo estás hoy
PRG,cómo estamos hoy
EXP,hoy está bonito
PRG,a qué hora nos vamos a ir
EXP,eres linda
EXP,buenos días
PRG,qué hora es
